,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat
299,132.2955379,Private room,FALSE,TRUE,6,FALSE,1,0,7,79,2,2.6058892,0.042842514,107.6144134,7.706884247,162.7698025,3.891130014,16.33882,48.21121
300,444.1016292,Entire home/apt,FALSE,FALSE,5,FALSE,0,1,9,80,2,3.485306194,0.959407318,77.82395097,5.573418678,112.5989119,2.691758538,16.33092,48.22145
301,287.7311082,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,96,1,4.073828264,0.935710827,67.37265594,4.824941606,88.00317501,2.103779635,16.39212,48.17402
302,229.7641587,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,98,1,1.607379317,0.225820419,205.9098516,14.74638333,289.7527178,6.926748573,16.35789,48.19863
303,283.991305,Private room,FALSE,TRUE,4,TRUE,0,1,10,97,2,2.366962772,0.339312783,132.4157359,9.483048939,164.9703243,3.943735081,16.37819,48.18745
304,191.4311759,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,10,98,1,3.431449728,0.786978929,89.3736434,6.400558276,122.2454675,2.922366437,16.32748,48.20862
305,266.6947152,Private room,FALSE,TRUE,2,FALSE,0,1,10,80,1,4.000403877,0.609411215,58.05731764,4.1578169,86.65856675,2.0716358,16.37138,48.24448
306,254.3066171,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,97,1,1.548218976,0.053089901,127.1699544,9.107368491,197.9085571,4.731147391,16.36726,48.22178
307,194.7035037,Entire home/apt,FALSE,FALSE,2,TRUE,1,0,10,100,1,4.661037551,0.317822515,51.78652632,3.708729632,74.84088873,1.789125648,16.39915,48.24684
308,170.394783,Entire home/apt,FALSE,FALSE,3,FALSE,0,0,10,97,1,2.160053477,0.374641902,106.6056376,7.634640033,176.7012078,4.224170348,16.39592,48.19603
309,266.4609775,Entire home/apt,FALSE,FALSE,3,FALSE,0,0,10,94,1,0.473412722,0.340358281,251.6734007,18.02377308,450.4822625,10.76910475,16.37336,48.21278
310,215.7398967,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,100,1,2.187562656,0.944202162,119.5807532,8.563862346,156.1864027,3.733749073,16.39025,48.19227
311,207.7928149,Entire home/apt,FALSE,FALSE,4,TRUE,0,0,10,98,1,0.83678218,0.300853139,176.0764442,12.60984222,296.2902061,7.083031965,16.375,48.216
312,139.3076689,Private room,FALSE,TRUE,3,FALSE,1,0,10,96,1,1.912127755,0.444642684,107.2801065,7.682942615,160.7516005,3.842883433,16.38964,48.22201
